,0,1,2,3
0,DEER PARK JAIPUR,CENTRAL PARK,CENTRAL PARK JAIPUR INDIA,
1,CENTRAL PARK,DEER PARK JAIPUR,CENTRAL PARK JAIPUR INDIA,
2,CENTRAL PARK JAIPUR INDIA,DEER PARK JAIPUR,CENTRAL PARK,
3,SHRI GOPINATH TEMPLE JAIPUR,ZOOLOGICAL GARDEN JAIPUR,ST ANDREWS CHURCH JAIPUR,LAXMI NARAYAN TEMPLE JAIPUR
4,ZOOLOGICAL GARDEN JAIPUR,SHRI GOPINATH TEMPLE JAIPUR,ST ANDREWS CHURCH JAIPUR,LAXMI NARAYAN TEMPLE JAIPUR
5,ST ANDREWS CHURCH JAIPUR,SHRI GOPINATH TEMPLE JAIPUR,ZOOLOGICAL GARDEN JAIPUR,LAXMI NARAYAN TEMPLE JAIPUR
6,LAXMI NARAYAN TEMPLE JAIPUR,SHRI GOPINATH TEMPLE JAIPUR,ZOOLOGICAL GARDEN JAIPUR,ST ANDREWS CHURCH JAIPUR
7,DARGAH BURHANUDDIN BABA JAIPUR,NAHARGARH BIOLOGICAL PARK,,
8,NAHARGARH BIOLOGICAL PARK,DARGAH BURHANUDDIN BABA JAIPUR,,
9,SKY WALTZ BALLOON SAFARI,GARH GANESH MANDIR,,
10,GARH GANESH MANDIR,SKY WALTZ BALLOON SAFARI,,
11,JAMWAY MATA MANDIR,RAMGARH LAKE,,
12,RAMGARH LAKE,JAMWAY MATA MANDIR,,
