,"Lat,Lng"
0,"26.985486500000004,75.8513454"
1,"26.925771299999997,75.8236581"
2,"26.924761999999998,75.82455999999999"
3,"26.923936299999998,75.8267438"
4,"26.911575499999998,75.8194875"
5,"26.937312700000003,75.8155259"
6,"26.892195899999997,75.8153921"
7,"26.953468199999996,75.846138"
8,"26.9167445,75.817966"
9,"26.899421799999995,75.8587309"
10,"26.8997912,75.853619"
11,"26.904784499999998,75.8072858"
12,"26.99271,75.850776"
13,"26.9288341,75.8240701"
14,"26.894645099999998,75.8166882"
15,"26.86817685,75.79124709999999"
16,"26.91571775,75.86317064999999"
17,"26.908014199999997,75.80571189999999"
18,"26.9127378,75.82018015"
19,"26.9132898,75.8195542"
20,"26.963621799999995,75.84863410000001"
21,"26.895696599999997,75.7999191"
22,"26.944763199999993,75.8407634"
23,"27.0160575,75.8644631"
24,"26.876361199999998,75.8091692"
25,"26.915498499999998,75.81016389999999"
26,"26.9466181,75.06209349999999"
27,"26.902218899999998,75.7406225"
28,"26.9890594,75.8512714"
29,"26.8398509,75.8009313"
30,"26.916480699999997,75.8192959"
31,"26.86166605,75.81327770000001"
32,"26.910342,75.82017479999999"
33,"26.915197199999998,75.80140709999999"
34,"26.9209589,75.8177006"
35,"26.752976,75.8368015"
36,"27.000468149999996,75.88039665"
37,"26.991105100000002,75.8512294"
38,"26.92003475,75.827127"
39,"26.9163509,75.823275"
40,"26.853021,75.8046688"
41,"26.945024699999998,75.82815769999999"
42,"26.8466204,75.80476519999999"
43,"27.066656,75.75224"
44,"26.9060123,75.80631265"
45,"26.9341049,75.8539884"
46,"26.909931,75.78084"
47,"26.933750399999997,75.82105394999999"
48,"26.911009099999998,75.7779724"
49,"26.913231999999997,75.8030448"
50,"27.04769955,76.0556"
51,"26.9209589,75.8177006"
52,"26.926910199999995,75.8072677"
53,"26.953513049999998,75.93072115000001"
54,"26.891521149999996,75.78917535"
55,"27.0382937,76.06280579999999"
56,"26.929505499999998,75.80359195"
57,"27.011922000000002,75.8725363"
58,"26.8736247,75.8119935"
59,"26.918937300000003,75.8676043"
60,"26.69487705,75.87864155"
61,"26.924501499999998,75.8191625"
62,"26.900291199999998,75.8171418"
63,"26.927005749999996,75.78215139999999"
64,"26.895342199999998,75.7485232"
65,"26.923127999999995,75.79278649999999"
66,"26.904784499999998,75.8072858"
67,"26.954534499999998,75.84163414999999"
68,"27.1439955,75.87200709999999"
69,"26.901065799999998,75.76224615"
70,"26.9167265,75.8129462"
71,"27.099617126759124,76.29388005861634"
72,"26.94845,75.8405217"
