PID,POIs,Time 1,Time 2,In time 1,In time 2,Out time 1,Out time 2
POI1,AMBER PALACE,7:00,2:45,10:00,18:30,17:00,21:15
POI2,CITY PALACE Jaipur,7:30,,9:30,,17:00,
POI3,JANTAR MANTAR JAIPUR,8:00,,9:00,,17:00,
POI4,HAWA MAHAL,7:30,,9:00,,16:30,
POI5,ALBERT HALL MUSEUM (CENTRAL MUSEUM),8:00,3:00,9:00,19:00,17:00,22:00
POI6,NAHARGARH FORT,8:00,,10:00,,18:00,
POI7,BIRLA TEMPLE jaipur,5:30,8:00,6:30,12:30,12:00,20:30
POI8,JAL MAHAL,10:30,,12:00,,22:30,
POI9,King Edward Memorial,8:00,3:00,9:00,19:00,17:00,22:00
POI10,SISODIA RANI PALACE AND GARDEN,12:00,,8:00,,20:00,
POI11,VIDYADHAR GARDEN,11:00,2:00,6:00,18:00,17:00,20:00
POI12,CENTRAL PARK JAIPUR INDIA,16:00,,5:00,,21:00,
POI13,ANOKHI MUSEUM OF HAND PRINTING,6:30,,10:30,,17:00,
POI14,GOVIND DEVJI TEMPLE,7:00,3:45,4:30,17:45,11:30,21:30
POI15,MOTI DOONGRI GANESH TEMPLE,16:45,,4:30,,21:15,
POI16,DIGAMBER JAIN MANDIR JAIPUR,14:00,,6:00,,20:00,
POI17,GALTAJI,12:00,,6:00,,18:00,
POI18,STATUE CIRCLE,23:59,,0:00,,23:59,
POI19,RAM NIWAS GARDEN,15:00,,5:00,,20:00,
POI20,ZOOLOGICAL GARDEN jaipur,8:00,,9:00,,17:00,
POI21,KANAK VRINDAVAN,9:00,,8:00,,17:00,
POI22,AMAR JAWAN JYOTI JAIPUR,14:00,,7:00,,21:00,
POI23,MAHARANI KI CHHATRI JAIPUR,7:00,,10:00,,17:00,
POI24,NAHARGARH BIOLOGICAL PARK,9:00,,8:30,,17:30,
POI25,JAWAHAR KALA KENDRA,7:00,,10:00,,17:00,
POI26,RAJ MANDIR,15:00,,11:00,,2:00,
POI27,SAMBHAR LAKE,23:59,,0:00,,23:59,
POI28,AKSHARDHAM TEMPLE JAIPUR,4:30,4:00,7:30,16:00,12:00,20:00
POI29,Jagat Shiromani Temple,23:59,,0:00,,23:59,
POI30,Jawahar Circle,17:00,,5:00,,22:00,
POI31,Museum of Gem and Jewellery,8:00,,10:00,,18:00,
POI32,Jhalana Safari Park in Jaipur,2:45,2:30,5:45,16:45,8:30,19:15
POI33,Masala Chowk,14:30,,8:00,,22:30,
POI34,Amrapali Museum,7:00,,11:00,,18:00,
POI35,Museum of Legacies jaipur india,8:00,,12:00,,20:00,
POI36,Chokhi Dhani,5:30,,17:30,,23:00,
POI37,Elefantastic Elephant Farm,8:00,,9:00,,17:00,
POI38,Panna Meena ki Baoli,11:00,,7:00,,18:00,
POI39,Johari Bazaar,13:00,,10:00,,23:00,
POI40,Bapu Bazaar,9:00,,11:00,,20:00,
POI41,World Trade Park,11:00,,11:00,,22:00,
POI42,Garh Ganesh Mandir,4:30,1:30,7:30,16:00,12:00,17:30
POI43,Mukesh Art gallery,9:00,,11:00,,20:00,
POI44,Angel resort and Amusement Waterpark,23:59,,0:00,,23:59,
POI45,B M Birla Auditorium,9:00,,11:00,,20:00,
POI46,"Khole Ke Hanuman JI Temple, Jaipur",10:00,,12:00,,22:00,
POI47,Skyfut,23:59,,0:00,,23:59,
POI48,Gatore Ki Chhatri Jaipur,12:30,,6:00,,18:30,
POI49,Rusirani Village jaipur,23:59,,0:00,,23:59,
POI50,Deer Park Jaipur,11:00,,6:00,,17:00,
POI51,Ramgarh Lake,23:59,,0:00,,23:59,
POI52,Museum of Legacies jaipur,8:00,,12:00,,20:00,
POI53,St Andrews Church Jaipur,8:30,,8:30,,17:00,
POI54,Jamva Ramgarh Wildlife Sanctuary,8:00,,9:00,,17:00,
POI55,Jwala mata Mandir jaipur,16:00,,6:00,,22:00,
POI56,Jamway Mata Mandir,13:30,,6:30,,20:00,
POI57,Laxmi Narayan Temple Jaipur,4:00,4:00,8:00,16:00,12:00,20:00
POI58,Dargah Burhanuddin Baba Jaipur,23:59,,0:00,,23:59,
POI59,Kulish Smiriti Van jaipur,11:00,,6:00,,17:00,
POI60,Dhamma Thali Vipassana Meditation Centre,23:59,,0:00,,23:59,
POI61,Chandlai Lake,23:59,,0:00,,23:59,
POI62,Shri Gopinath Temple Jaipur,13:00,,5:00,,18:00,
POI63,Dolls Museum,8:00,,9:00,,17:00,
POI64,Peacock Garden Jaipur,14:00,,5:00,,19:00,
POI65,Elements Shopping Jaipur,10:00,,10:00,,20:00,
POI66,Crystal mall Jaipur,13:00,,10:00,,23:00,
POI67,CENTRAL PARK JAIPUR,16:00,,5:00,,21:00,
POI68,Handicraft Haveli Jaipur,9:00,,10:00,,19:00,
POI69,Sunrise Dream World Amusement Park,9:00,,10:00,,19:00,
POI70,Brethren Church jaipur,4:00,,9:00,,13:00,
POI71,MI Road,23:59,,0:00,,23:59,
POI72,Bhangarh Fort,12:00,,6:00,,18:00,
POI73,Sky Waltz Balloon Safari,9:00,,9:00,,18:00,
