PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49,POI50,POI51,POI52,POI53,POI54,POI55,POI56,POI57,POI58,POI59,POI60,POI61,POI62,POI63,POI64,POI65,POI66,POI67,POI68,POI69,POI70,POI71,POI72,POI73
POI1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI2,8155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI3,8082,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI4,7864,793,720,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI5,9926,2855,2782,2053,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI6,10629,14318,14245,14305,16694,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI7,11720,4649,4576,3847,2353,17787,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI8,5470,5179,5106,5166,7554,11537,8692,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI9,9540,2469,2396,1667,934,15607,3128,7055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI10,13419,5931,5858,5129,4917,19485,5862,10934,4970,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI11,12877,5389,5316,4587,4375,18943,5320,10392,4428,542,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI12,11939,3784,3857,4066,2294,18006,3246,9454,2376,7257,6715,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI13,2470,9432,9359,9419,11807,11810,12945,6561,11161,13687,13145,13114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI14,7747,609,536,1168,3244,13814,4694,5262,2310,5963,5421,4180,9005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI15,11410,4339,4266,3537,2194,17477,309,8925,3009,5589,5047,2622,12668,4258,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI16,16687,8532,8605,8814,6792,22754,5698,14202,6966,11114,10572,6425,17945,9535,5541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI17,16594,9106,9033,8304,8092,22660,9037,14109,8145,3175,3717,10393,20304,9025,8728,14391,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI18,11387,3232,3305,3514,2758,17454,3224,8902,1824,7181,6639,426,12645,4235,3062,6255,10356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI19,9658,2587,2514,1785,263,15725,2457,7173,789,5052,4510,2406,10916,2506,2295,7452,8227,2526,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI20,9612,2541,2468,1739,310,15679,2504,7127,743,5099,4557,2359,10870,2460,2342,7499,8274,2479,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI21,3113,5735,5662,5722,8110,9179,9248,2864,7464,9990,9448,9417,4371,5325,8939,14639,13165,9355,7187,7140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI22,13163,5008,5081,5290,3935,19230,2586,10678,3600,7760,7218,1810,14421,6011,2424,3696,10935,1777,4055,4102,10647,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI23,5065,3298,3225,3285,5961,11131,6811,2580,5027,7658,7116,6980,6323,2888,6502,12673,10833,6918,4750,4703,2548,8156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI24,7711,14726,14653,14713,16397,17050,19328,11802,16455,16910,16368,18038,6885,14316,19019,24682,20085,18346,16178,16131,9428,21174,11291,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI25,13804,6603,6676,5931,4223,19871,2555,11319,5037,7983,7441,4619,15062,6652,2398,4254,11158,4722,4342,4389,11288,3700,8855,21984,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI26,10422,2267,2340,2549,1794,16489,4234,7937,859,5675,5133,1436,11680,3270,4072,7265,8850,1374,1531,1484,7906,2612,5473,16814,6597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI27,107304,99149,99222,99431,98675,113371,97604,104819,97741,102557,102015,97412,108562,100152,97442,96843,105732,96986,98412,98365,104788,95982,102355,113696,98347,97033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI28,19384,11229,11302,11511,10755,25451,9270,16899,9821,14637,14095,9492,20642,12232,9108,9874,17812,8461,10492,10445,16868,7648,14435,25776,10690,9113,90788,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI29,2114,9076,9003,9063,11451,11454,12589,6205,10805,13331,12789,12758,1348,8666,12280,17980,16506,12696,10528,10481,3832,13934,6000,6426,15321,11425,108258,19355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI30,18230,11029,11102,10357,8649,24297,6981,15745,9463,12369,11827,9879,19488,11078,6824,5012,15544,9846,8768,8815,15714,8824,13281,25621,4742,9769,98553,12479,19894,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI31,9405,2334,2261,1532,799,15472,2993,6920,865,4681,4139,2730,10663,2253,2831,7988,7856,2850,536,489,6889,4088,4456,15797,5329,1945,98596,9693,11069,9324,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI32,19120,10136,10209,9464,7756,25186,6088,16635,8570,10223,9681,8183,22830,10185,5931,5287,13398,8255,7875,7922,16603,7233,14212,23475,3850,8876,100004,13340,23236,3891,8705,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI33,10219,3148,3075,2346,441,16286,2157,7734,1670,5506,4964,2242,11477,3067,1995,7152,8681,2342,560,607,7703,3579,5270,16611,4493,1976,98627,9724,11883,8488,1805,7407,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI34,11521,3366,3439,3648,2892,17588,4420,9036,1958,6774,6232,1622,12779,4369,4258,5807,9949,1333,2629,2582,9005,2798,6572,17913,6105,1250,96048,7145,13185,10323,2093,9206,2929,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI35,10073,1918,1991,2200,1547,16140,3601,7588,613,5429,4887,2483,11331,2921,3439,7325,8604,2504,1284,1237,7557,3742,5124,16465,5937,1233,98066,9163,11737,9932,748,8851,1584,2575,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI36,30746,22725,22798,22873,21165,36813,19497,28261,21159,22250,22457,20618,32138,23594,19340,15751,25425,20585,21284,21331,28230,19563,25797,37990,17258,21732,107644,23215,32544,13520,21294,16050,21478,21762,21672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI37,4850,11865,11792,11852,14241,14189,16467,8941,13594,14049,13507,17823,4024,11455,16158,21821,17224,15485,13317,13270,6567,18313,8430,4669,18421,14214,111047,22144,4430,22418,13729,20785,15558,15256,12981,35541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI38,2237,9199,9126,9186,11574,11577,12712,6328,10928,13454,12912,12881,1471,8789,12403,18103,16629,12819,10651,10604,3955,14057,6123,6549,15444,11548,108381,19478,318,19439,11063,20190,10950,12590,10315,34946,4143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI39,8542,1471,1398,669,1636,14609,3477,6057,1513,4746,4204,3538,9800,1390,3168,8638,7921,3658,1417,1370,6026,4896,3593,14934,5979,2253,99086,10183,10206,10205,1648,8893,1716,3356,1798,25150,12528,9889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI40,8925,1854,1781,1052,1016,14992,3210,6440,901,4613,4071,2821,10183,1773,3048,7389,7788,2941,753,706,6409,4179,3976,15317,5546,1536,98687,9784,10589,9541,1036,8460,1052,2639,2181,24416,12911,10272,897,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI41,16815,9614,9687,8942,7234,22882,5566,14330,8048,10459,9917,7766,18073,9663,5409,3158,13634,7992,7353,7400,14299,6711,11866,23711,3328,8354,97876,11212,18479,1898,8183,3198,7547,9169,8561,14810,21306,18162,8822,8091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
